"","size_f","size.length.um.used.for.conversions","shape","polymer","particle.volume.um3","density.mg.um.3","organism.group","environment","bio.org","treatments","effect","effect_f","effect_10","exposure.duration.d","exposure.route","media.temp","lvl1_f","lvl2_f","dose.mg.L.master","sex","media.ph","media.sal.ppt","dose.particles.mL.master","effect.metric","functional.group","charge","zetapotential.mV","max.size.ingest.mm","acute.chronic_f","dose.mg.L.master.AF.noec","dose.particles.mL.master.AF.noec","dose.um3.mL.master","effect.score"
"79","100nm < 1µm",0.106,"sphere","PS",0.000623615,1.07e-09,"Crustacea","Marine","organism",5,"N","N",0,2,"water",25,"Fitness","Mortality",100,NA,8.3,38,1.5e+11,"HONEC","NH2","positive",18,0.27,"Acute",100,1.5e+11,93542250,6
"80","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Mortality",1000,NA,8.2,32,18.16522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,934579439.041979,6
"81","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Mortality",10000,NA,8.2,32,181.6522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,9345794390.41979,6
"82","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Mortality",1e+05,NA,8.2,32,1816.522745,"HONEC",NA,NA,NA,NA,"Unavailable",1e+05,1816.522745,93457943904.1979,6
"83","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"Y","Y",1,28,"sediment",12.3,"Behavioral, Sensory, Neurological","Feeding",1000,NA,8.2,32,18.16522745,"LOEC",NA,NA,NA,NA,"Unavailable",2000,36.3304549,934579439.041979,2
"84","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"Y","Y",1,28,"sediment",12.3,"Behavioral, Sensory, Neurological","Feeding",10000,NA,8.2,32,181.6522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,9345794390.41979,2
"85","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"Y","Y",1,28,"sediment",12.3,"Behavioral, Sensory, Neurological","Feeding",1e+05,NA,8.2,32,1816.522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,93457943904.1979,2
"86","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Body Condition",1000,NA,8.2,32,18.16522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,934579439.041979,3
"87","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Body Condition",10000,NA,8.2,32,181.6522745,NA,NA,NA,NA,NA,"Unavailable",NA,NA,9345794390.41979,3
"88","100µm < 1mm",850,"fragment","PS",51448815.69,1.07e-09,"Annelida","Marine","organism",3,"N","N",0,28,"sediment",12.3,"Fitness","Body Condition",1e+05,NA,8.2,32,1816.522745,"HONEC",NA,NA,NA,NA,"Unavailable",1e+05,1816.522745,93457943904.1979,3
